gene_callers_id	source	accession	function	e_value
28	NCBI_PGAP	WP_014947736.1	outer membrane beta-barrel protein	0
29	NCBI_PGAP	WP_014947737.1	group II truncated hemoglobin	0
30	NCBI_PGAP	WP_014947738.1	shikimate dehydrogenase (aroE)	0
31	NCBI_PGAP	WP_014947739.1	gamma carbonic anhydrase family protein	0
32	NCBI_PGAP	WP_014947740.1	UDP-N-acetylglucosamine 2-epimerase	0
33	NCBI_PGAP	WP_014947741.1	acyloxyacyl hydrolase	0
36	NCBI_PGAP	WP_014947744.1	error-prone DNA polymerase	0
37	NCBI_PGAP	WP_014947745.1	DNA polymerase Y family protein	0
38	NCBI_PGAP	WP_014947746.1	recombinase RecA	0
40	NCBI_PGAP	WP_014947748.1	DUF885 domain-containing protein	0
41	NCBI_PGAP	WP_014947749.1	DUF1820 family protein	0
42	NCBI_PGAP	WP_014947750.1	M28 family peptidase	0
43	NCBI_PGAP	WP_012516568.1	nucleoid occlusion factor SlmA (slmA)	0
44	NCBI_PGAP	WP_014947751.1	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC (coaBC)	0
45	NCBI_PGAP	WP_014947752.1	DNA repair protein RadC (radC)	0
47	NCBI_PGAP	WP_014947754.1	YjbF family lipoprotein	0
48	NCBI_PGAP	WP_014947755.1	capsule biosynthesis GfcC family protein	0
49	NCBI_PGAP	WP_014947756.1	YjbH domain-containing protein	0
50	NCBI_PGAP	WP_014947757.1	50S ribosomal protein L28 (rpmB)	0
51	NCBI_PGAP	WP_012516577.1	50S ribosomal protein L33 (rpmG)	0
53	NCBI_PGAP	WP_014947759.1	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase (mutM)	0
54	NCBI_PGAP	WP_014947760.1	pantetheine-phosphate adenylyltransferase (coaD)	0
55	NCBI_PGAP	WP_014947761.1	3-deoxy-D-manno-octulosonic acid kinase	0
58	NCBI_PGAP	WP_014947764.1	EAL domain-containing protein	0
59	NCBI_PGAP	WP_014947765.1	glycine C-acetyltransferase	0
60	NCBI_PGAP	WP_014947766.1	L-threonine 3-dehydrogenase (tdh)	0
61	NCBI_PGAP	WP_014947767.1	thiosulfate sulfurtransferase GlpE (glpE)	0
62	NCBI_PGAP	WP_014947768.1	rhomboid family intramembrane serine protease GlpG (glpG)	0
63	NCBI_PGAP	WP_014947769.1	flagellar basal body-associated protein FliL (fliL)	0
64	NCBI_PGAP	WP_041693341.1	chorismate lyase	0
65	NCBI_PGAP	WP_014947771.1	4-hydroxybenzoate octaprenyltransferase (ubiA)	0
66	NCBI_PGAP	WP_014947772.1	accessory factor UbiK family protein	0
67	NCBI_PGAP	WP_014947773.1	DNA helicase Rep (rep)	0
68	NCBI_PGAP	WP_014947774.1	GGDEF domain-containing protein	0
69	NCBI_PGAP	WP_014947775.1	cytochrome c5 family protein	0
70	NCBI_PGAP	WP_014947776.1	Na+/H+ antiporter NhaC (nhaC)	0
71	NCBI_PGAP	WP_014947777.1	BCCT family transporter	0
73	NCBI_PGAP	WP_014947779.1	DUF2960 domain-containing protein	0
74	NCBI_PGAP	WP_014947782.1	DUF4124 domain-containing protein	0
75	NCBI_PGAP	WP_014947783.1	TonB-dependent siderophore receptor	0
78	NCBI_PGAP	WP_014947786.1	acyl-CoA dehydrogenase family protein	0
79	NCBI_PGAP	WP_014947787.1	LysR family transcriptional regulator	0
80	NCBI_PGAP	WP_014947788.1	MBL fold metallo-hydrolase	0
81	NCBI_PGAP	WP_014947789.1	YcjX family protein	0
82	NCBI_PGAP	WP_014947790.1	DUF697 domain-containing protein	0
83	NCBI_PGAP	WP_014947791.1	threonine/serine exporter family protein	0
84	NCBI_PGAP	WP_014947792.1	2-iminoacetate synthase ThiH (thiH)	0
85	NCBI_PGAP	WP_014947793.1	thiazole synthase	0
86	NCBI_PGAP	WP_014947794.1	sulfur carrier protein ThiS (thiS)	0
87	NCBI_PGAP	WP_148275238.1	HesA/MoeB/ThiF family protein	0
88	NCBI_PGAP	WP_014947796.1	thiamine phosphate synthase (thiE)	0
89	NCBI_PGAP	WP_187289710.1	phosphomethylpyrimidine synthase ThiC (thiC)	0
90	NCBI_PGAP	WP_014947798.1	heme biosynthesis protein	0
91	NCBI_PGAP	WP_014947799.1	uroporphyrinogen-III C-methyltransferase	0
92	NCBI_PGAP	WP_014947800.1	uroporphyrinogen-III synthase	0
93	NCBI_PGAP	WP_014947801.1	hydroxymethylbilane synthase (hemC)	0
94	NCBI_PGAP	WP_014947802.1	GGDEF domain-containing protein	0
95	NCBI_PGAP	WP_014947803.1	alpha/beta fold hydrolase	0
96	NCBI_PGAP	WP_014947804.1	guanylate kinase (gmk)	0
97	NCBI_PGAP	WP_014947805.1	DNA-directed RNA polymerase subunit omega (rpoZ)	0
98	NCBI_PGAP	WP_014947806.1	bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase (spoT)	0
99	NCBI_PGAP	WP_014947807.1	RidA family protein	0
100	NCBI_PGAP	WP_014947808.1	tRNA (guanosine(18)-2'-O)-methyltransferase TrmH (trmH)	0
101	NCBI_PGAP	WP_014947809.1	class I SAM-dependent methyltransferase	0
102	NCBI_PGAP	WP_014947810.1	peroxiredoxin	0
104	NCBI_PGAP	WP_014947812.1	extracellular solute-binding protein	0
105	NCBI_PGAP	WP_014947813.1	iron ABC transporter permease	0
106	NCBI_PGAP	WP_014947814.1	ABC transporter ATP-binding protein	0
107	NCBI_PGAP	WP_014947815.1	NAD(P)/FAD-dependent oxidoreductase	0
108	NCBI_PGAP	WP_014947816.1	outer membrane beta-barrel protein	0
111	NCBI_PGAP	WP_041693652.1	diguanylate phosphodiesterase	0
112	NCBI_PGAP	WP_014947820.1	diguanylate cyclase	0
113	NCBI_PGAP	WP_014947821.1	ArgP/LysG family DNA-binding transcriptional regulator	0
114	NCBI_PGAP	WP_014947822.1	LysE family transporter	0
115	NCBI_PGAP	WP_014947823.1	multidrug efflux SMR transporter	0
116	NCBI_PGAP	WP_014947824.1	DUF1499 domain-containing protein	0
117	NCBI_PGAP	WP_014947825.1	molecular chaperone DnaJ	0
118	NCBI_PGAP	WP_014947826.1	efflux RND transporter periplasmic adaptor subunit	0
119	NCBI_PGAP	WP_014947827.1	multidrug efflux RND transporter permease subunit	0
120	NCBI_PGAP	WP_014947828.1	alpha/beta fold hydrolase	0
121	NCBI_PGAP	WP_014947829.1	GNAT family N-acetyltransferase	0
122	NCBI_PGAP	WP_014947830.1	histone deacetylase family protein	0
123	NCBI_PGAP	WP_014947831.1	glutaredoxin	0
125	NCBI_PGAP	WP_014947833.1	methyl-accepting chemotaxis protein	0
127	NCBI_PGAP	WP_014947835.1	DUF3300 domain-containing protein	0
128	NCBI_PGAP	WP_014947836.1	GTP cyclohydrolase II (ribA)	0
129	NCBI_PGAP	WP_039226995.1	EAL domain-containing protein	0
131	NCBI_PGAP	WP_014947839.1	glutathione S-transferase	0
132	NCBI_PGAP	WP_014947840.1	DNA helicase RecQ (recQ)	0
133	NCBI_PGAP	WP_014947841.1	thioesterase family protein	0
134	NCBI_PGAP	WP_014947842.1	magnesium transporter	0
135	NCBI_PGAP	WP_014947843.1	EamA family transporter RarD (rarD)	0
136	NCBI_PGAP	WP_014947844.1	DNA helicase II (uvrD)	0
137	NCBI_PGAP	WP_014947845.1	serine O-acetyltransferase (cysE)	0
138	NCBI_PGAP	WP_014947846.1	sensor domain-containing diguanylate cyclase	0
139	NCBI_PGAP	WP_014947847.1	HAD-IA family hydrolase	0
140	NCBI_PGAP	WP_014947848.1	tyrosine recombinase XerC (xerC)	0
141	NCBI_PGAP	WP_014947849.1	DUF484 family protein	0
142	NCBI_PGAP	WP_014947850.1	diaminopimelate epimerase (dapF)	0
143	NCBI_PGAP	WP_014947851.1	diaminopimelate decarboxylase (lysA)	0
144	NCBI_PGAP	WP_014947852.1	lipoprotein	0
145	NCBI_PGAP	WP_014947853.1	glycosyl transferase	0
146	NCBI_PGAP	WP_014947854.1	phosphatase PAP2 family protein	0
147	NCBI_PGAP	WP_014947855.1	ribonuclease E activity regulator RraA (rraA)	0
148	NCBI_PGAP	WP_014947856.1	extracellular solute-binding protein	0
149	NCBI_PGAP	WP_014947857.1	S1/P1 nuclease	0
150	NCBI_PGAP	WP_014947858.1	UbiX family flavin prenyltransferase	0
151	NCBI_PGAP	WP_014947859.1	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase (mpl)	0
152	NCBI_PGAP	WP_014947860.1	class 1 fructose-bisphosphatase	0
153	NCBI_PGAP	WP_014947861.1	inorganic diphosphatase (ppa)	0
154	NCBI_PGAP	WP_014947862.1	DUF3299 domain-containing protein	0
155	NCBI_PGAP	WP_014947863.1	dihydrodipicolinate synthase family protein	0
156	NCBI_PGAP	WP_014947864.1	2OG-Fe(II) oxygenase	0
157	NCBI_PGAP	WP_014947865.1	acyl-CoA thioesterase	0
159	NCBI_PGAP	WP_014947867.1	peptidase	0
160	NCBI_PGAP	WP_014947868.1	Hsp70 family protein	0
162	NCBI_PGAP	WP_014947870.1	excinuclease ABC subunit UvrA (uvrA)	0
163	NCBI_PGAP	WP_014947871.1	MFS transporter	0
164	NCBI_PGAP	WP_014947872.1	beta-phosphoglucomutase family hydrolase	0
166	NCBI_PGAP	WP_014947874.1	alpha/beta hydrolase	0
167	NCBI_PGAP	WP_014947876.1	LacI family DNA-binding transcriptional regulator	0
168	NCBI_PGAP	WP_014947877.1	galactose mutarotase	0
169	NCBI_PGAP	WP_014947878.1	UDP-glucose--hexose-1-phosphate uridylyltransferase	0
170	NCBI_PGAP	WP_014947879.1	galactokinase (galK)	0
171	NCBI_PGAP	WP_014947880.1	sodium/solute symporter	0
172	NCBI_PGAP	WP_014947881.1	single-stranded DNA-binding protein	0
174	NCBI_PGAP	WP_014947883.1	dienelactone hydrolase family protein	0
175	NCBI_PGAP	WP_014947884.1	alpha-galactosidase	0
176	NCBI_PGAP	WP_014947885.1	SLC5 family protein	0
177	NCBI_PGAP	WP_014947886.1	TonB-dependent receptor	0
178	NCBI_PGAP	WP_014947887.1	glycerol kinase GlpK (glpK)	0
179	NCBI_PGAP	WP_014947888.1	DeoR/GlpR family transcriptional regulator	0
180	NCBI_PGAP	WP_014947889.1	glycerol-3-phosphate dehydrogenase (glpD)	0
181	NCBI_PGAP	WP_014947890.1	phosphoglycerate mutase family protein	0
184	NCBI_PGAP	WP_014947893.1	PilN domain-containing protein	0
185	NCBI_PGAP	WP_014947894.1	agglutinin biogenesis protein MshJ	0
186	NCBI_PGAP	WP_014947895.1	agglutinin biogenesis protein MshK	0
187	NCBI_PGAP	WP_014947896.1	pilus (MSHA type) biogenesis protein MshL (mshL)	0
188	NCBI_PGAP	WP_014947897.1	AAA family ATPase	0
189	NCBI_PGAP	WP_014947898.1	agglutinin biogenesis protein MshN	0
190	NCBI_PGAP	WP_014947899.1	GspE/PulE family protein (tadA)	0
191	NCBI_PGAP	WP_014947900.1	type II secretion system F family protein	0
193	NCBI_PGAP	WP_014947902.1	prepilin-type N-terminal cleavage/methylation domain-containing protein	0
194	NCBI_PGAP	WP_014947903.1	prepilin-type N-terminal cleavage/methylation domain-containing protein	0
195	NCBI_PGAP	WP_014947904.1	type II secretion system protein	0
196	NCBI_PGAP	WP_014947905.1	prepilin-type N-terminal cleavage/methylation domain-containing protein	0
197	NCBI_PGAP	WP_014947906.1	type II secretion system protein	0
199	NCBI_PGAP	WP_014947908.1	H-type lectin domain-containing protein	0
200	NCBI_PGAP	WP_014947909.1	rod shape-determining protein	0
201	NCBI_PGAP	WP_014947910.1	rod shape-determining protein MreC (mreC)	0
202	NCBI_PGAP	WP_014947911.1	rod shape-determining protein MreD (mreD)	0
203	NCBI_PGAP	WP_014947912.1	septum formation inhibitor Maf (maf)	0
204	NCBI_PGAP	WP_014947913.1	ribonuclease G (rng)	0
205	NCBI_PGAP	WP_014947914.1	TIGR02099 family protein	0
206	NCBI_PGAP	WP_014947915.1	carbon-nitrogen hydrolase family protein	0
207	NCBI_PGAP	WP_014947916.1	metalloprotease TldD (tldD)	0
209	NCBI_PGAP	WP_014947918.1	ribosome-associated protein	0
210	NCBI_PGAP	WP_014947919.1	metalloprotease PmbA (pmbA)	0
211	NCBI_PGAP	WP_014947920.1	helix-turn-helix domain-containing protein	0
212	NCBI_PGAP	WP_014947921.1	beta-galactosidase	0
213	NCBI_PGAP	WP_014947922.1	two-component system response regulator ArcA (arcA)	0
214	NCBI_PGAP	WP_014947923.1	HAMP domain-containing histidine kinase	0
215	NCBI_PGAP	WP_014947924.1	glycogen synthase GlgA (glgA)	0
216	NCBI_PGAP	WP_014947925.1	methyltransferase	0
217	NCBI_PGAP	WP_014947926.1	tRNA (guanosine(46)-N7)-methyltransferase TrmB (trmB)	0
218	NCBI_PGAP	WP_014947927.1	alpha/beta fold hydrolase	0
219	NCBI_PGAP	WP_014947928.1	A/G-specific adenine glycosylase (mutY)	0
220	NCBI_PGAP	WP_014947929.1	oxidative damage protection protein	0
222	NCBI_PGAP	WP_041693348.1	HAD family hydrolase	0
223	NCBI_PGAP	WP_014947932.1	methyl-accepting chemotaxis protein	0
224	NCBI_PGAP	WP_014947933.1	response regulator	0
225	NCBI_PGAP	WP_014947934.1	chemotaxis protein CheW	0
226	NCBI_PGAP	WP_014947935.1	chemotaxis protein CheW	0
227	NCBI_PGAP	WP_014947936.1	methyl-accepting chemotaxis protein	0
228	NCBI_PGAP	WP_014947937.1	chemotaxis protein CheR	0
229	NCBI_PGAP	WP_014947938.1	chemoreceptor glutamine deamidase CheD (cheD)	0
230	NCBI_PGAP	WP_014947939.1	chemotaxis response regulator protein-glutamate methylesterase	0
231	NCBI_PGAP	WP_014947940.1	methyl-accepting chemotaxis protein	0
232	NCBI_PGAP	WP_014947941.1	response regulator	0
233	NCBI_PGAP	WP_014947942.1	chemotaxis protein CheW	0
234	NCBI_PGAP	WP_014947943.1	chemotaxis protein CheW	0
235	NCBI_PGAP	WP_014947944.1	PAS domain S-box protein	0
236	NCBI_PGAP	WP_014947945.1	methyl-accepting chemotaxis protein	0
237	NCBI_PGAP	WP_014947946.1	chemotaxis protein CheR	0
238	NCBI_PGAP	WP_014947947.1	chemoreceptor glutamine deamidase CheD (cheD)	0
239	NCBI_PGAP	WP_014947948.1	chemotaxis response regulator protein-glutamate methylesterase	0
241	NCBI_PGAP	WP_014947950.1	haloacid dehalogenase type II	0
242	NCBI_PGAP	WP_014947951.1	TonB-dependent receptor	0
243	NCBI_PGAP	WP_014947952.1	substrate-binding domain-containing protein	0
244	NCBI_PGAP	WP_014947953.1	MFS transporter	0
245	NCBI_PGAP	WP_014947954.1	alpha,alpha-trehalase	0
246	NCBI_PGAP	WP_014947955.1	GGDEF domain-containing protein	0
247	NCBI_PGAP	WP_014947956.1	DMT family transporter	0
248	NCBI_PGAP	WP_014947957.1	HAD family hydrolase	0
250	NCBI_PGAP	WP_014947959.1	DUF3392 domain-containing protein	0
251	NCBI_PGAP	WP_014947960.1	sugar phosphate isomerase/epimerase	0
252	NCBI_PGAP	WP_012516940.1	LacI family DNA-binding transcriptional regulator	0
253	NCBI_PGAP	WP_014947961.1	Gfo/Idh/MocA family oxidoreductase	0
254	NCBI_PGAP	WP_014947962.1	sugar phosphate isomerase/epimerase	0
255	NCBI_PGAP	WP_014947963.1	nucleoside permease	0
256	NCBI_PGAP	WP_014947964.1	TIM barrel protein	0
257	NCBI_PGAP	WP_014947965.1	GMC family oxidoreductase	0
258	NCBI_PGAP	WP_014947966.1	gluconate 2-dehydrogenase subunit 3 family protein	0
259	NCBI_PGAP	WP_014947967.1	DUF1080 domain-containing protein	0
260	NCBI_PGAP	WP_014947968.1	iron-containing alcohol dehydrogenase	0
261	NCBI_PGAP	WP_014947969.1	branched-chain amino acid aminotransferase	0
262	NCBI_PGAP	WP_014947970.1	2,3-diphosphoglycerate-dependent phosphoglycerate mutase (gpmA)	0
263	NCBI_PGAP	WP_014947971.1	cupin domain-containing protein	0
264	NCBI_PGAP	WP_014947972.1	aconitate hydratase AcnA (acnA)	0
265	NCBI_PGAP	WP_014947973.1	sel1 repeat family protein	0
266	NCBI_PGAP	WP_080589194.1	GspE/PulE family protein	0
267	NCBI_PGAP	WP_010179497.1	30S ribosomal protein S10 (rpsJ)	0
268	NCBI_PGAP	WP_014947975.1	50S ribosomal protein L3 (rplC)	0
269	NCBI_PGAP	WP_012516958.1	50S ribosomal protein L4 (rplD)	0
270	NCBI_PGAP	WP_012516959.1	50S ribosomal protein L23 (rplW)	0
271	NCBI_PGAP	WP_014947976.1	50S ribosomal protein L2 (rplB)	0
272	NCBI_PGAP	WP_012516961.1	30S ribosomal protein S19 (rpsS)	0
273	NCBI_PGAP	WP_014947977.1	50S ribosomal protein L22 (rplV)	0
274	NCBI_PGAP	WP_014947978.1	30S ribosomal protein S3 (rpsC)	0
275	NCBI_PGAP	WP_014947979.1	50S ribosomal protein L16 (rplP)	0
276	NCBI_PGAP	WP_014947980.1	50S ribosomal protein L29 (rpmC)	0
277	NCBI_PGAP	WP_014947981.1	30S ribosomal protein S17 (rpsQ)	0
278	NCBI_PGAP	WP_014947982.1	glycosyltransferase family 4 protein	0
279	NCBI_PGAP	WP_014947983.1	lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase (waaA)	0
280	NCBI_PGAP	WP_014947984.1	sodium:proton antiporter	0
283	NCBI_PGAP	WP_014947987.1	methyl-accepting chemotaxis protein	0
284	NCBI_PGAP	WP_014947988.1	M3 family metallopeptidase	0
286	NCBI_PGAP	WP_014947990.1	YgjV family protein	0
288	NCBI_PGAP	WP_014947992.1	formyltetrahydrofolate deformylase (purU)	0
289	NCBI_PGAP	WP_014947993.1	RNA 2',3'-cyclic phosphodiesterase (thpR)	0
290	NCBI_PGAP	WP_014947994.1	ATP-dependent helicase HrpB (hrpB)	0
291	NCBI_PGAP	WP_014947995.1	DUF4198 domain-containing protein	0
292	NCBI_PGAP	WP_014947996.1	lytic murein transglycosylase	0
293	NCBI_PGAP	WP_014947997.1	penicillin-binding protein 1B (mrcB)	0
295	NCBI_PGAP	WP_014948000.1	DUF808 domain-containing protein	0
296	NCBI_PGAP	WP_014948001.1	endonuclease	0
297	NCBI_PGAP	WP_014948002.1	helix-turn-helix domain-containing protein	0
299	NCBI_PGAP	WP_012516988.1	P-II family nitrogen regulator (glnK)	0
300	NCBI_PGAP	WP_014948004.1	ammonium transporter	0
301	NCBI_PGAP	WP_014948005.1	gamma-glutamyltransferase (ggt)	0
302	NCBI_PGAP	WP_014948006.1	Dyp-type peroxidase	0
303	NCBI_PGAP	WP_014948007.1	adenylate/guanylate cyclase domain-containing protein	0
304	NCBI_PGAP	WP_014948008.1	glutamate-1-semialdehyde 2,1-aminomutase (hemL)	0
305	NCBI_PGAP	WP_014948009.1	aspartate carbamoyltransferase	0
306	NCBI_PGAP	WP_014948010.1	TetR/AcrR family transcriptional regulator	0
307	NCBI_PGAP	WP_014948011.1	efflux RND transporter periplasmic adaptor subunit	0
308	NCBI_PGAP	WP_014948012.1	efflux RND transporter permease subunit	0
309	NCBI_PGAP	WP_014948013.1	DUF2982 domain-containing protein	0
310	NCBI_PGAP	WP_014948014.1	hybrid sensor histidine kinase/response regulator	0
311	NCBI_PGAP	WP_014948015.1	DNA topoisomerase IV subunit A (parC)	0
312	NCBI_PGAP	WP_014948016.1	heme NO-binding domain-containing protein	0
313	NCBI_PGAP	WP_014948017.1	bifunctional diguanylate cyclase/phosphodiesterase	0
314	NCBI_PGAP	WP_014948018.1	DUF1338 domain-containing protein	0
315	NCBI_PGAP	WP_014948019.1	succinylglutamate-semialdehyde dehydrogenase (astD)	0
316	NCBI_PGAP	WP_014948020.1	arginine N-succinyltransferase (astA)	0
317	NCBI_PGAP	WP_014948021.1	aspartate aminotransferase family protein	0
318	NCBI_PGAP	WP_014948022.1	HDOD domain-containing protein	0
319	NCBI_PGAP	WP_014948023.1	aminodeoxychorismate/anthranilate synthase component II	0
320	NCBI_PGAP	WP_014948024.1	tryptophan--tRNA ligase (trpS)	0
321	NCBI_PGAP	WP_014948025.1	ribulose-phosphate 3-epimerase (rpe)	0
324	NCBI_PGAP	WP_014948028.1	DUF2970 domain-containing protein	0
325	NCBI_PGAP	WP_014948029.1	Dam family site-specific DNA-(adenine-N6)-methyltransferase	0
326	NCBI_PGAP	WP_014948030.1	cell division protein DamX	0
327	NCBI_PGAP	WP_014948031.1	3-dehydroquinate synthase (aroB)	0
328	NCBI_PGAP	WP_014948032.1	shikimate kinase AroK (aroK)	0
329	NCBI_PGAP	WP_014948033.1	type IV pilus secretin PilQ family protein	0
330	NCBI_PGAP	WP_014948034.1	pilus assembly protein PilP	0
331	NCBI_PGAP	WP_014948035.1	type 4a pilus biogenesis protein PilO	0
332	NCBI_PGAP	WP_014948036.1	PilN domain-containing protein	0
333	NCBI_PGAP	WP_014948037.1	type IV pilus assembly protein PilM (pilM)	0
334	NCBI_PGAP	WP_014948038.1	PBP1A family penicillin-binding protein	0
335	NCBI_PGAP	WP_014948039.1	NAD-dependent malic enzyme	0
337	NCBI_PGAP	WP_014948041.1	glutathione-dependent disulfide-bond oxidoreductase (yghU)	0
339	NCBI_PGAP	WP_014948043.1	catalase	0
340	NCBI_PGAP	WP_014948044.1	TetR/AcrR family transcriptional regulator	0
341	NCBI_PGAP	WP_014948045.1	NAD(P)-binding protein	0
342	NCBI_PGAP	WP_014948046.1	DUF2855 family protein	0
343	NCBI_PGAP	WP_014948047.1	alpha/beta fold hydrolase	0
344	NCBI_PGAP	WP_014948048.1	EAL domain-containing protein	0
345	NCBI_PGAP	WP_014948049.1	argininosuccinate lyase (argH)	0
346	NCBI_PGAP	WP_014948050.1	argininosuccinate synthase	0
347	NCBI_PGAP	WP_014948051.1	ornithine carbamoyltransferase	0
348	NCBI_PGAP	WP_014948052.1	acetylglutamate kinase (argB)	0
349	NCBI_PGAP	WP_014948053.1	N-acetyl-gamma-glutamyl-phosphate reductase (argC)	0
350	NCBI_PGAP	WP_014948054.1	methylglyoxal synthase	0
352	NCBI_PGAP	WP_014948056.1	flagellar basal body L-ring protein FlgH	0
353	NCBI_PGAP	WP_014948057.1	flagellar assembly protein T N-terminal domain-containing protein	0
354	NCBI_PGAP	WP_014948058.1	Spy/CpxP family protein refolding chaperone	0
355	NCBI_PGAP	WP_039225152.1	response regulator transcription factor	0
356	NCBI_PGAP	WP_014948060.1	HAMP domain-containing protein	0
357	NCBI_PGAP	WP_014948061.1	alpha/beta fold hydrolase	0
358	NCBI_PGAP	WP_014948062.1	tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL (trmL)	0
359	NCBI_PGAP	WP_014948063.1	efflux RND transporter periplasmic adaptor subunit	0
360	NCBI_PGAP	WP_014948064.1	MacB family efflux pump subunit (macB)	0
361	NCBI_PGAP	WP_014948065.1	TolC family protein	0
363	NCBI_PGAP	WP_014948067.1	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase (gpsA)	0
364	NCBI_PGAP	WP_014948068.1	protein-export chaperone SecB (secB)	0
365	NCBI_PGAP	WP_014948069.1	glutaredoxin 3 (grxC)	0
366	NCBI_PGAP	WP_014948070.1	rhodanese-like domain-containing protein	0
367	NCBI_PGAP	WP_014948071.1	peptidoglycan DD-metalloendopeptidase family protein	0
368	NCBI_PGAP	WP_014948072.1	divergent polysaccharide deacetylase family protein	0
369	NCBI_PGAP	WP_014948073.1	MerC domain-containing protein	0
370	NCBI_PGAP	WP_014948074.1	glycerophosphodiester phosphodiesterase	0
371	NCBI_PGAP	WP_014948075.1	DMT family transporter	0
372	NCBI_PGAP	WP_014948076.1	phosphatidylserine decarboxylase (psd)	0
373	NCBI_PGAP	WP_014948078.1	oligoribonuclease (orn)	0
374	NCBI_PGAP	WP_014948080.1	TonB-dependent receptor	0
375	NCBI_PGAP	WP_014948081.1	DUF4442 domain-containing protein	0
376	NCBI_PGAP	WP_039225146.1	DUF413 domain-containing protein	0
377	NCBI_PGAP	WP_014948083.1	acetolactate synthase 3 large subunit	0
378	NCBI_PGAP	WP_014948084.1	acetolactate synthase small subunit (ilvN)	0
380	NCBI_PGAP	WP_014948086.1	Sec-independent protein translocase subunit TatA (tatA)	0
381	NCBI_PGAP	WP_014948087.1	Sec-independent protein translocase subunit TatB (tatB)	0
382	NCBI_PGAP	WP_014948088.1	twin-arginine translocase subunit TatC (tatC)	0
384	NCBI_PGAP	WP_014948090.1	TatD family hydrolase	0
385	NCBI_PGAP	WP_014948091.1	diguanylate cyclase	0
386	NCBI_PGAP	WP_014948092.1	porphobilinogen synthase (hemB)	0
388	NCBI_PGAP	WP_012517074.1	thioredoxin TrxA (trxA)	0
389	NCBI_PGAP	WP_014948094.1	transcription termination factor Rho (rho)	0
390	NCBI_PGAP	WP_014948095.1	amidohydrolase	0
391	NCBI_PGAP	WP_014948096.1	response regulator	0
392	NCBI_PGAP	WP_014948097.1	Na+/H+ antiporter NhaA (nhaA)	0
393	NCBI_PGAP	WP_014948098.1	5-(carboxyamino)imidazole ribonucleotide mutase (purE)	0
394	NCBI_PGAP	WP_014948099.1	5-(carboxyamino)imidazole ribonucleotide synthase	0
395	NCBI_PGAP	WP_014948100.1	copper chaperone PCu(A)C	0
396	NCBI_PGAP	WP_014948101.1	DNA starvation/stationary phase protection protein	0
397	NCBI_PGAP	WP_014948102.1	PQQ-dependent sugar dehydrogenase	0
398	NCBI_PGAP	WP_014948103.1	S9 family peptidase	0
